Move,Move Time (s),Evaluation Time (ms)
1,7.297553539276123,3.000020980834961
2,8.009554624557495,34.584999084472656
3,4.903420448303223,4.000186920166016
4,6.915730953216553,3.9997100830078125
5,5.365535497665405,3.999948501586914
6,5.258730173110962,4.004955291748047
7,6.117485284805298,4.000663757324219
8,5.904444932937622,2.001523971557617
9,5.293969631195068,3.0231475830078125
10,4.504885673522949,5.009174346923828
11,4.741405248641968,2.9990673065185547
12,5.646566867828369,3.999948501586914
13,4.567552089691162,2.999544143676758
14,5.364330530166626,65.70148468017578
15,4.6118104457855225,3.4036636352539062
16,5.433977365493774,4.0035247802734375
17,4.787262201309204,3.510713577270508
18,5.484025955200195,3.006458282470703
19,4.694108963012695,12.107610702514648
