Move,Move Time (s),Evaluation Time (ms)
1,3.135319471359253,54.045677185058594
2,3.3787171840667725,23.04220199584961
3,4.014344930648804,8.520841598510742
4,3.8084750175476074,23.591995239257812
5,3.852060079574585,7.999897003173828
6,3.421205997467041,71.61164283752441
7,4.857421875,8.010625839233398
8,4.70114541053772,8.01706314086914
9,2.9935896396636963,9.000062942504883
10,2.650376558303833,8.188486099243164
11,2.6936891078948975,40.642738342285156
12,3.5781474113464355,10.741710662841797
13,3.615767240524292,87.01372146606445
14,4.122893571853638,55.727243423461914
15,3.1402223110198975,8.99958610534668
16,4.358716011047363,7.999897003173828
17,4.717151641845703,71.74324989318848
18,4.641056060791016,11.417865753173828
19,4.737565279006958,51.44643783569336
20,2.749343156814575,37.43863105773926
