Move,Move Time (s),Evaluation Time (ms)
1,0.10076642036437988,44.182538986206055
2,0.25212860107421875,42.52028465270996
3,0.567694902420044,29.518842697143555
4,0.4642038345336914,26.77178382873535
5,0.3962578773498535,32.67216682434082
6,0.649451494216919,32.52744674682617
7,0.7269196510314941,27.118444442749023
8,0.549534797668457,21.61383628845215
9,0.4677700996398926,31.627178192138672
10,0.4093501567840576,29.615163803100586
11,0.5193495750427246,28.417587280273438
12,0.5281484127044678,26.602745056152344
13,0.5364439487457275,27.76360511779785
14,0.5248639583587646,26.034832000732422
15,0.49368834495544434,38.002967834472656
16,0.46328067779541016,26.121139526367188
17,0.47881102561950684,25.99620819091797
