Move,Move Time (s),Evaluation Time (ms)
1,7.297553539276123,5.000114440917969
2,8.009554624557495,6.006717681884766
3,4.903420448303223,6.511926651000977
4,6.915730953216553,20.512819290161133
5,5.365535497665405,5.982875823974609
6,5.258730173110962,67.80099868774414
7,6.117485284805298,4.998683929443359
8,5.904444932937622,115.77987670898438
9,5.293969631195068,5.093812942504883
10,4.504885673522949,52.09851264953613
11,4.741405248641968,4.686117172241211
12,5.646566867828369,29.576778411865234
13,4.567552089691162,15.68460464477539
14,5.364330530166626,50.63939094543457
