Move,Move Time (s),Evaluation Time (ms)
1,3.135319471359253,7.76982307434082
2,3.3787171840667725,7.997035980224609
3,4.014344930648804,6.608724594116211
4,3.8084750175476074,38.67387771606445
5,3.852060079574585,8.093595504760742
6,3.421205997467041,23.293018341064453
7,4.857421875,24.63674545288086
8,4.70114541053772,7.001399993896484
9,2.9935896396636963,23.93627166748047
10,2.650376558303833,7.764339447021484
11,2.6936891078948975,8.088827133178711
12,3.5781474113464355,9.093046188354492
13,3.615767240524292,8.539915084838867
14,4.122893571853638,6.085872650146484
15,3.1402223110198975,8.902788162231445
16,4.358716011047363,9.555816650390625
17,4.717151641845703,8.003711700439453
18,4.641056060791016,10.984182357788086
