Move,Move Time (s),Evaluation Time (ms)
1,7.297553539276123,19.857406616210938
2,8.009554624557495,4.012823104858398
3,4.903420448303223,3.008127212524414
4,6.915730953216553,99.78199005126953
5,5.365535497665405,4.6939849853515625
6,5.258730173110962,2.9900074005126953
7,6.117485284805298,3.0050277709960938
8,5.904444932937622,3.002166748046875
9,5.293969631195068,3.606557846069336
10,4.504885673522949,4.998207092285156
11,4.741405248641968,4.509687423706055
12,5.646566867828369,34.894466400146484
13,4.567552089691162,4.093170166015625
14,5.364330530166626,103.70588302612305
15,4.6118104457855225,10.19906997680664
