Move,Move Time (s),Evaluation Time (ms)
1,0.07026791572570801,11.042356491088867
2,0.15989351272583008,20.586729049682617
3,0.21252822875976562,22.198915481567383
4,0.40728020668029785,16.57867431640625
5,0.1973583698272705,24.157047271728516
6,0.2641780376434326,19.06895637512207
7,0.33063244819641113,17.908334732055664
8,0.24595379829406738,17.510652542114258
9,0.16354823112487793,16.007423400878906
10,0.09300661087036133,15.570878982543945
11,0.11854290962219238,13.009786605834961
12,0.08752059936523438,11.519670486450195
13,0.0921318531036377,10.027408599853516
