Move,Move Time (s),Evaluation Time (ms)
1,3.028658151626587,5.995273590087891
2,3.0511927604675293,8.066177368164062
3,4.9468464851379395,6.999015808105469
4,5.345465898513794,6.520986557006836
5,3.919142484664917,6.510019302368164
6,3.2531208992004395,7.522821426391602
7,3.552051067352295,7.004261016845703
8,4.391406297683716,69.16022300720215
9,3.0778443813323975,6.526947021484375
10,4.548352956771851,53.787946701049805
11,4.3248631954193115,74.33700561523438
12,4.513365745544434,32.29880332946777
