Move,Move Time (s),Evaluation Time (ms)
1,3.045877456665039,3.0908584594726562
2,5.898095607757568,6.024599075317383
3,5.82919716835022,2.0093917846679688
4,5.766678333282471,2.9990673065185547
5,3.695608139038086,1.99127197265625
6,3.6398448944091797,3.0493736267089844
7,2.7103090286254883,2.0012855529785156
8,2.7296760082244873,3.0791759490966797
9,3.7364039421081543,2.997875213623047
10,3.137826919555664,2.9997825622558594
11,4.1013875007629395,3.004312515258789
12,2.463435173034668,19.42157745361328
