Move,Move Time (s),Evaluation Time (ms)
1,0.0410923957824707,34.73329544067383
2,0.14491915702819824,30.22909164428711
3,0.2200934886932373,27.524232864379883
4,0.23543047904968262,35.51149368286133
5,0.16779327392578125,49.39126968383789
6,0.42886948585510254,41.72706604003906
7,0.39131927490234375,64.44311141967773
8,0.32003283500671387,44.863224029541016
9,0.22620415687561035,44.01731491088867
10,0.21242713928222656,51.22780799865723
11,0.2766907215118408,45.98641395568848
12,0.2937190532684326,45.447587966918945
