Move,Move Time (s),Evaluation Time (ms)
1,0.09488439559936523,62.60418891906738
2,0.1981964111328125,51.21111869812012
3,0.22692012786865234,59.65995788574219
4,0.31281185150146484,42.572021484375
5,0.22318482398986816,43.58625411987305
6,0.32555580139160156,34.46221351623535
7,0.281599760055542,44.17228698730469
8,0.25806546211242676,38.752079010009766
9,0.2247025966644287,39.942026138305664
10,0.1645035743713379,39.089202880859375
11,0.3398020267486572,38.04588317871094
12,0.2541794776916504,29.868364334106445
13,0.2912881374359131,31.72588348388672
14,0.2546043395996094,38.107872009277344
15,0.23622965812683105,39.92319107055664
