Move,Move Time (s),Evaluation Time (ms)
1,0.21203398704528809,44.74306106567383
2,0.3811976909637451,32.11784362792969
3,0.40851879119873047,35.798072814941406
4,0.49877309799194336,42.611122131347656
5,0.5272259712219238,30.173540115356445
6,0.6192700862884521,40.6794548034668
7,0.568490743637085,47.728538513183594
8,0.6045019626617432,31.772851943969727
9,0.4984259605407715,48.62689971923828
10,0.5083096027374268,46.836137771606445
11,0.6466989517211914,44.58475112915039
12,0.5990245342254639,35.10093688964844
13,0.5799515247344971,36.26227378845215
14,0.5214252471923828,42.62566566467285
15,0.5670557022094727,39.671897888183594
16,0.7634656429290771,37.7964973449707
17,0.5285687446594238,32.99283981323242
18,0.6220307350158691,49.29709434509277
19,0.8283965587615967,71.31767272949219
20,0.8616013526916504,69.16069984436035
21,0.6754586696624756,40.857791900634766
22,0.8719096183776855,25.84528923034668
23,0.6245512962341309,47.3020076751709
