Move,Move Time (s),Evaluation Time (ms)
1,3.135319471359253,6.0062408447265625
2,3.3787171840667725,5.2204132080078125
3,4.014344930648804,6.0100555419921875
4,3.8084750175476074,5.999088287353516
5,3.852060079574585,6.711244583129883
6,3.421205997467041,5.896806716918945
7,4.857421875,9.181022644042969
8,4.70114541053772,5.993843078613281
9,2.9935896396636963,5.686283111572266
10,2.650376558303833,5.996465682983398
11,2.6936891078948975,5.087852478027344
12,3.5781474113464355,5.006551742553711
13,3.615767240524292,5.016326904296875
14,4.122893571853638,9.12022590637207
15,3.1402223110198975,6.996393203735352
