Move,Move Time (s),Evaluation Time (ms)
1,0.03453779220581055,32.18793869018555
2,0.09413981437683105,26.03936195373535
3,0.13016223907470703,23.708581924438477
4,0.23962163925170898,33.37717056274414
5,0.1578373908996582,34.282684326171875
6,0.1944575309753418,29.33049201965332
7,0.5255637168884277,35.42447090148926
8,0.4645371437072754,23.550748825073242
9,0.33002638816833496,28.804302215576172
10,0.2555267810821533,36.75270080566406
11,0.4377002716064453,33.963918685913086
12,0.29167819023132324,36.09442710876465
