Move,Move Time (s),Evaluation Time (ms)
1,3.028658151626587,7.414102554321289
2,3.0511927604675293,6.67262077331543
3,4.9468464851379395,5.999326705932617
4,5.345465898513794,6.600856781005859
5,3.919142484664917,7.354497909545898
6,3.2531208992004395,8.159637451171875
7,3.552051067352295,6.010770797729492
8,4.391406297683716,6.694793701171875
9,3.0778443813323975,7.013559341430664
10,4.548352956771851,6.978034973144531
11,4.3248631954193115,7.112264633178711
12,4.513365745544434,7.009029388427734
13,3.634039878845215,6.675243377685547
14,2.6846232414245605,5.9871673583984375
15,4.6897735595703125,7.012844085693359
16,4.221840143203735,6.995916366577148
17,4.289406776428223,7.097721099853516
