Move,Move Time (s),Evaluation Time (ms)
1,5.134076118469238,11.672019958496094
2,4.845358848571777,8.706331253051758
3,9.923691987991333,10.618209838867188
4,6.022742986679077,9.998083114624023
5,6.063080072402954,10.104656219482422
6,8.02926778793335,2.9981136322021484
7,5.474108457565308,15.480279922485352
8,7.211130380630493,31.506061553955078
9,4.59931206703186,10.029315948486328
10,6.3261237144470215,25.55394172668457
11,7.182758569717407,26.000261306762695
12,4.8557116985321045,11.516332626342773
13,4.857008695602417,10.569572448730469
14,4.9208385944366455,59.80396270751953
15,5.028936147689819,51.714181900024414
16,4.690862417221069,42.840003967285156
17,4.8957483768463135,10.951042175292969
