Move,Move Time (s),Evaluation Time (ms)
1,3.135319471359253,11.052846908569336
2,3.3787171840667725,9.546518325805664
3,4.014344930648804,9.087324142456055
4,3.8084750175476074,10.705709457397461
5,3.852060079574585,11.01541519165039
6,3.421205997467041,9.162187576293945
7,4.857421875,9.920120239257812
8,4.70114541053772,10.46895980834961
9,2.9935896396636963,8.989334106445312
10,2.650376558303833,11.08241081237793
11,2.6936891078948975,9.705781936645508
12,3.5781474113464355,8.899211883544922
13,3.615767240524292,11.013269424438477
