Move,Move Time (s),Evaluation Time (ms)
1,3.028658151626587,15.02847671508789
2,3.0511927604675293,7.566213607788086
3,4.9468464851379395,7.112264633178711
4,5.345465898513794,8.994579315185547
5,3.919142484664917,8.118391036987305
6,3.2531208992004395,8.229732513427734
7,3.552051067352295,7.614850997924805
8,4.391406297683716,7.904052734375
9,3.0778443813323975,10.005950927734375
10,4.548352956771851,8.040428161621094
11,4.3248631954193115,9.009122848510742
12,4.513365745544434,9.072542190551758
13,3.634039878845215,9.08350944519043
14,2.6846232414245605,8.029699325561523
15,4.6897735595703125,8.57996940612793
16,4.221840143203735,9.086847305297852
17,4.289406776428223,8.033037185668945
18,4.354283332824707,9.019851684570312
19,3.677887201309204,7.072210311889648
20,4.154315948486328,7.630825042724609
