Move,Move Time (s),Evaluation Time (ms)
1,0.09488439559936523,40.67230224609375
2,0.1981964111328125,34.38162803649902
3,0.22692012786865234,39.16478157043457
4,0.31281185150146484,37.15920448303223
5,0.22318482398986816,30.118465423583984
6,0.32555580139160156,29.50119972229004
7,0.281599760055542,62.60418891906738
8,0.25806546211242676,51.21111869812012
9,0.2247025966644287,59.65995788574219
10,0.1645035743713379,42.572021484375
11,0.3398020267486572,43.58625411987305
12,0.2541794776916504,34.46221351623535
