Move,Move Time (s),Evaluation Time (ms)
1,0.09488439559936523,30.118465423583984
2,0.1981964111328125,29.50119972229004
3,0.22692012786865234,62.60418891906738
4,0.31281185150146484,51.21111869812012
5,0.22318482398986816,59.65995788574219
6,0.32555580139160156,42.572021484375
7,0.281599760055542,43.58625411987305
8,0.25806546211242676,34.46221351623535
9,0.2247025966644287,44.17228698730469
10,0.1645035743713379,38.752079010009766
11,0.3398020267486572,39.942026138305664
12,0.2541794776916504,39.089202880859375
13,0.2912881374359131,38.04588317871094
14,0.2546043395996094,29.868364334106445
