Move,Move Time (s),Evaluation Time (ms)
1,3.028658151626587,8.520364761352539
2,3.0511927604675293,7.091283798217773
3,4.9468464851379395,8.104562759399414
4,5.345465898513794,7.691860198974609
5,3.919142484664917,7.910251617431641
6,3.2531208992004395,6.999969482421875
7,3.552051067352295,7.507801055908203
8,4.391406297683716,8.513927459716797
9,3.0778443813323975,8.095264434814453
10,4.548352956771851,6.709575653076172
11,4.3248631954193115,7.007122039794922
12,4.513365745544434,7.59577751159668
13,3.634039878845215,7.391929626464844
14,2.6846232414245605,8.008718490600586
15,4.6897735595703125,7.188320159912109
16,4.221840143203735,7.969379425048828
17,4.289406776428223,8.012056350708008
18,4.354283332824707,8.000373840332031
19,3.677887201309204,7.915735244750977
