Move,Move Time (s),Evaluation Time (ms)
1,3.135319471359253,5.999565124511719
2,3.3787171840667725,229.37989234924316
3,4.014344930648804,5.52058219909668
4,3.8084750175476074,6.52313232421875
5,3.852060079574585,22.539615631103516
6,3.421205997467041,6.014108657836914
7,4.857421875,5.99980354309082
8,4.70114541053772,22.537946701049805
9,2.9935896396636963,6.000280380249023
10,2.650376558303833,87.15510368347168
11,2.6936891078948975,7.000207901000977
12,3.5781474113464355,38.575172424316406
13,3.615767240524292,6.999731063842773
14,4.122893571853638,7.005453109741211
15,3.1402223110198975,7.0858001708984375
16,4.358716011047363,22.16506004333496
17,4.717151641845703,106.3992977142334
18,4.641056060791016,7.01141357421875
19,4.737565279006958,7.292032241821289
