Move,Move Time (s),Evaluation Time (ms)
1,0.21203398704528809,40.65346717834473
2,0.3811976909637451,33.27298164367676
3,0.40851879119873047,34.59501266479492
4,0.49877309799194336,28.237342834472656
5,0.5272259712219238,30.64727783203125
6,0.6192700862884521,27.250289916992188
7,0.568490743637085,26.313066482543945
8,0.6045019626617432,30.32994270324707
9,0.4984259605407715,41.69321060180664
10,0.5083096027374268,39.778947830200195
11,0.6466989517211914,44.74306106567383
12,0.5990245342254639,32.11784362792969
13,0.5799515247344971,35.798072814941406
14,0.5214252471923828,42.611122131347656
15,0.5670557022094727,30.173540115356445
16,0.7634656429290771,40.6794548034668
17,0.5285687446594238,47.728538513183594
18,0.6220307350158691,31.772851943969727
