Move,Move Time (s),Evaluation Time (ms)
1,0.0410923957824707,37.11438179016113
2,0.14491915702819824,29.63566780090332
3,0.2200934886932373,33.43391418457031
4,0.23543047904968262,30.099868774414062
5,0.16779327392578125,32.70578384399414
6,0.42886948585510254,28.928279876708984
7,0.39131927490234375,38.469552993774414
8,0.32003283500671387,37.76216506958008
9,0.22620415687561035,46.76103591918945
10,0.21242713928222656,44.72184181213379
11,0.2766907215118408,39.47567939758301
12,0.2937190532684326,46.167612075805664
13,0.2744922637939453,48.79951477050781
14,0.18770790100097656,39.34836387634277
15,0.19632983207702637,60.239315032958984
16,0.34061288833618164,43.295860290527344
17,0.23631787300109863,44.190168380737305
18,0.18689537048339844,42.353153228759766
19,0.24123835563659668,42.31405258178711
20,0.21384167671203613,84.80167388916016
21,0.2535817623138428,47.50823974609375
22,0.3991837501525879,43.79582405090332
23,0.26289820671081543,55.692434310913086
