Move,Move Time (s),Evaluation Time (ms)
1,3.135319471359253,8.00013542175293
2,3.3787171840667725,8.595705032348633
3,4.014344930648804,8.550405502319336
4,3.8084750175476074,8.013248443603516
5,3.852060079574585,10.495424270629883
6,3.421205997467041,10.088920593261719
7,4.857421875,7.994651794433594
8,4.70114541053772,8.993864059448242
9,2.9935896396636963,8.020401000976562
10,2.650376558303833,8.603334426879883
11,2.6936891078948975,9.176015853881836
12,3.5781474113464355,9.922981262207031
13,3.615767240524292,9.123086929321289
14,4.122893571853638,8.09478759765625
15,3.1402223110198975,9.003400802612305
16,4.358716011047363,10.286569595336914
