Move,Move Time (s),Evaluation Time (ms)
1,7.297553539276123,3.518342971801758
2,8.009554624557495,3.0083656311035156
3,4.903420448303223,2.9990673065185547
4,6.915730953216553,4.5108795166015625
5,5.365535497665405,3.509998321533203
6,5.258730173110962,36.5450382232666
7,6.117485284805298,2.9993057250976562
8,5.904444932937622,3.000020980834961
9,5.293969631195068,3.000020980834961
10,4.504885673522949,20.00570297241211
11,4.741405248641968,2.9997825622558594
12,5.646566867828369,4.013538360595703
13,4.567552089691162,49.024343490600586
