Move,Move Time (s),Evaluation Time (ms)
1,0.21203398704528809,24.990558624267578
2,0.3811976909637451,27.701854705810547
3,0.40851879119873047,27.460098266601562
4,0.49877309799194336,28.980016708374023
5,0.5272259712219238,63.21597099304199
6,0.6192700862884521,69.3662166595459
7,0.568490743637085,51.427364349365234
8,0.6045019626617432,36.73553466796875
9,0.4984259605407715,46.59724235534668
10,0.5083096027374268,48.05779457092285
11,0.6466989517211914,40.65346717834473
12,0.5990245342254639,33.27298164367676
13,0.5799515247344971,34.59501266479492
