Move,Move Time (s),Evaluation Time (ms)
1,3.028658151626587,53.39169502258301
2,3.0511927604675293,6.943225860595703
3,4.9468464851379395,53.711652755737305
4,5.345465898513794,6.000041961669922
5,3.919142484664917,102.27584838867188
6,3.2531208992004395,5.994319915771484
7,3.552051067352295,37.5971794128418
8,4.391406297683716,6.007671356201172
9,3.0778443813323975,6.6356658935546875
10,4.548352956771851,6.651163101196289
11,4.3248631954193115,100.86345672607422
12,4.513365745544434,9.687423706054688
13,3.634039878845215,29.0529727935791
14,2.6846232414245605,62.346458435058594
