Move,Move Time (s),Evaluation Time (ms)
1,0.09488439559936523,31.72588348388672
2,0.1981964111328125,38.107872009277344
3,0.22692012786865234,39.92319107055664
4,0.31281185150146484,28.460979461669922
5,0.22318482398986816,34.4538688659668
6,0.32555580139160156,32.1047306060791
7,0.281599760055542,36.716461181640625
8,0.25806546211242676,33.7977409362793
9,0.2247025966644287,33.11586380004883
10,0.1645035743713379,39.58272933959961
11,0.3398020267486572,43.219566345214844
12,0.2541794776916504,41.002750396728516
13,0.2912881374359131,41.517019271850586
14,0.2546043395996094,42.14167594909668
15,0.23622965812683105,42.54460334777832
16,0.43553614616394043,41.5194034576416
17,0.19365906715393066,47.19686508178711
18,0.23987555503845215,54.63218688964844
19,0.2200455665588379,50.20785331726074
20,0.4700930118560791,42.66166687011719
21,0.37383198738098145,62.09444999694824
